country,life_exp,gdp,population,lib_dem
Kazakhstan,72.94999694824219,10867.73828125,18.080018997192383,0.12800000607967377
Jordan,74.29199981689453,3305.668212890625,9.7858428955078125,0.23399999737739563
Kenya,65.90899658203125,1156.42529296875,50.22114181518555,0.3490000069141388
"Korea, South",82.6268310546875,27492.576171875,51.09641647338867,0.7459999918937683
Kuwait,75.31099700927734,33359.4296875,4.056098937988281,0.28200000524520874
Kyrgyzstan,71.19999694824219,1072.49365234375,6.189733028411865,0.29600000381469727
Laos,67.2770004272461,1706.793212890625,6.9530348777771,0.08399999886751175
Lebanon,78.83300018310547,6370.88916015625,6.81937313079834,0.28999999165534973
Lesotho,52.946998596191406,1391.9365234375,2.091533899307251,0.36899998784065247
Latvia,74.62926483154297,15512.7255859375,1.951097011566162,0.6850000023841858
